code_insee,nom,parti,nb_voix,percent_inscrits,percents_exprimes
2B002,"M. André CASANOVA",INDIVIDU,138,76.66,99.28
2B002,"M. Hervé KLEINEIDAM",INDIVIDU,137,76.11,98.56
2B002,"M. Pascal ANGELINI",INDIVIDU,136,75.55,97.84
2B002,"M. Jean-François ARRIGHI",INDIVIDU,136,75.55,97.84
2B002,"M. Francis VIELES",INDIVIDU,136,75.55,97.84
2B002,"Mme Renée FERRARI",INDIVIDU,135,75.00,97.12
2B002,"M. Joseph MURACCIOLE",INDIVIDU,134,74.44,96.40
2B002,"M. Gilles SALVA",INDIVIDU,134,74.44,96.40
2B002,"M. José RODRIGUEZ",INDIVIDU,134,74.44,96.40
2B002,"M. Daniel BARCELO",INDIVIDU,133,73.88,95.68
2B002,"M. Christian DELETOILLE",INDIVIDU,132,73.33,94.96
2B003,"Mme Lucie AGOSTINI",INDIVIDU,57,76.00,100.00
2B003,"Mme Irène LAPS EPOUSE XICLUNA",INDIVIDU,57,76.00,100.00
2B003,"M. Christian ANGELI",INDIVIDU,57,76.00,100.00
2B003,"M. Gérard ORSONI",INDIVIDU,57,76.00,100.00
2B003,"M. Marius ANGELI",INDIVIDU,57,76.00,100.00
2B003,"M. Renaud BONIECH",INDIVIDU,57,76.00,100.00
2B003,"M. René CASAMATTA",INDIVIDU,57,76.00,100.00
2B005,"Mme Aurélie BERNARDI",INDIVIDU,23,62.16,100.00
2B005,"M. Guy MAMELLI",INDIVIDU,23,62.16,100.00
2B005,"M. François-Albert BERNARDI",INDIVIDU,23,62.16,100.00
2B005,"Mme Ingrid OGEDA-MONTI EP TADDEI",INDIVIDU,23,62.16,100.00
2B005,"M. Jean-Marc GUELFUCCI",INDIVIDU,23,62.16,100.00
2B005,"M. Jean-Marie GUELFUCCI",INDIVIDU,23,62.16,100.00
2B005,"Mme Corinne IMPERINETTI",INDIVIDU,23,62.16,100.00
2B007,"Mme Louise-Agathe ALBERTELLI EP ALBERTINI",INDIVIDU,192,58.00,100.00
2B007,"Mme Jeanne ANSALDI EP SANTUCCI",INDIVIDU,192,58.00,100.00
2B007,"Mme Françoise SIMEONI",INDIVIDU,192,58.00,100.00
2B007,"Mme Catherine ALBERTINI",INDIVIDU,192,58.00,100.00
2B007,"Mme Marie-Pierre FRIESS EP ANTOLINI",INDIVIDU,192,58.00,100.00
2B007,"M. François ALBERTINI",INDIVIDU,192,58.00,100.00
2B007,"M. Gérard-Christian PIERAGGI",INDIVIDU,192,58.00,100.00
2B007,"M. Jean-Vitus ALBERTINI",INDIVIDU,192,58.00,100.00
2B007,"M. Pasquin SANTINI",INDIVIDU,192,58.00,100.00
2B007,"M. Pierre-François-Paul ALBERTINI",INDIVIDU,192,58.00,100.00
2B007,"Mme Mathilde SANTUCCI EP ALFONSI",INDIVIDU,192,58.00,100.00
2B009,"M. Dominique VENTURINI",LUDI,579,41.59,47.81
2B009,"M. Ange FRATICELLI",LDVD,632,45.40,52.18
2B010,"M. Patrick KRAN",INDIVIDU,156,61.41,100.00
2B010,"M. Raphaël PARIGGI",INDIVIDU,156,61.41,100.00
2B010,"M. René AMAT",INDIVIDU,155,61.02,99.35
2B010,"M. François ROSSI",INDIVIDU,155,61.02,99.35
2B010,"M. Dominique SANTUCCI",INDIVIDU,153,60.23,98.07
2B010,"M. Nicolas ALLEGRINI",INDIVIDU,152,59.84,97.43
2B010,"M. François NEGRETTI",INDIVIDU,149,58.66,95.51
2B010,"M. Maurice PARIGGI",INDIVIDU,148,58.26,94.87
2B010,"M. Richard STURLESI",INDIVIDU,144,56.69,92.30
2B010,"Mme Carine LOVERINI-DAVID",INDIVIDU,142,55.90,91.02
2B010,"M. Paul MARTELLI",INDIVIDU,139,54.72,89.10
2B012,"M. Pierre-Paul FRIGOSINI",INDIVIDU,76,65.51,100.00
2B012,"Mme Pascale ARCANGELI",INDIVIDU,73,62.93,96.05
