code_insee,nom,parti,nb_voix,percent_inscrits,percents_exprimes
40001,"M. Robert CABE",LUG,1352,29.84,42.56
40001,"M. Xavier LAGRAVE",LUD,1824,40.26,57.43
40002,"Mme Odile LAFITTE",LSOC,332,28.13,37.09
40002,"M. Jean-Jacques DARMAILLACQ",LUMP,563,47.71,62.90
40003,"Mme Catherine DE BARROS",INDIVIDU,135,64.28,97.82
40003,"M. Maurice PIERRE",INDIVIDU,135,64.28,97.82
40003,"M. Thierry NAVARRO",INDIVIDU,133,63.33,96.37
40003,"M. Didier MAUGEAIS",INDIVIDU,131,62.38,94.92
40003,"Mme Isabelle DELMAS",INDIVIDU,131,62.38,94.92
40003,"M. Thierry VERGERON",INDIVIDU,131,62.38,94.92
40003,"M. Vincent PICARD",INDIVIDU,130,61.90,94.20
40003,"Mme Catherine BORDES",INDIVIDU,129,61.42,93.47
40003,"Mme Hélène PAYSAN",INDIVIDU,129,61.42,93.47
40003,"Mme Véronique AUDOUY",INDIVIDU,128,60.95,92.75
40003,"Mme Laëtitia CAYET",INDIVIDU,124,59.04,89.85
40004,"M. Arnaud PINATEL",LSOC,701,52.31,100.00
40005,"M. Denis DEPOMPS",INDIVIDU,118,77.12,96.72
40005,"M. Dominique FALCOU",INDIVIDU,117,76.47,95.90
40005,"Mme Nathalie LAFFITTE",INDIVIDU,117,76.47,95.90
40005,"M. Mathieu BIDOT",INDIVIDU,116,75.81,95.08
40005,"M. Baptiste BOULIN",INDIVIDU,115,75.16,94.26
40005,"Mme Leila KOCHER",INDIVIDU,114,74.50,93.44
40005,"M. Didier DARRIEUTORT",INDIVIDU,114,74.50,93.44
40005,"M. Jean LAFFITTE",INDIVIDU,114,74.50,93.44
40005,"M. Benjamin BIDOT",INDIVIDU,113,73.85,92.62
40005,"Mme Sylvie DARNAUDERY",INDIVIDU,111,72.54,90.98
40005,"Mme Marie-Claude TASTET",INDIVIDU,109,71.24,89.34
40006,"M. Lionel VILLENAVE",INDIVIDU,402,65.79,91.57
40006,"M. Didier PLANCKE",INDIVIDU,399,65.30,90.88
40006,"M. Bernard JOUGLENS",INDIVIDU,399,65.30,90.88
40006,"Mme Christine DUCOUT",INDIVIDU,395,64.64,89.97
40006,"M. Maurice DOURDOIGNE",INDIVIDU,394,64.48,89.74
40006,"M. Claude DESTRUHAUT",INDIVIDU,393,64.32,89.52
40006,"M. Christian DOUSSAN",INDIVIDU,393,64.32,89.52
40006,"M. Michel DARENGOSSE",INDIVIDU,391,63.99,89.06
40006,"M. Claude LANXADE",INDIVIDU,388,63.50,88.38
40006,"Mme Emma DUBOSCQ",INDIVIDU,383,62.68,87.24
40006,"Mme Martine LABARSOUQUE",INDIVIDU,381,62.35,86.78
40006,"M. Jean-Luc DUBROCA",INDIVIDU,379,62.02,86.33
40006,"M. Jean-Pierre POMIES",INDIVIDU,376,61.53,85.64
40006,"Mme Evelyne FREMIOT",INDIVIDU,375,61.37,85.42
40006,"Mme Sylvie JAGAILLE",INDIVIDU,373,61.04,84.96
40007,"M. Armand BAYACQ",INDIVIDU,122,81.87,96.06
40007,"M. Arnaud LABADIE",INDIVIDU,122,81.87,96.06
40007,"Mme Marguerite MULIAVA",INDIVIDU,119,79.86,93.70
40007,"M. Jean NASSANS",INDIVIDU,119,79.86,93.70
40007,"Mme Laurence FAYE-THOUMAZEAU",INDIVIDU,117,78.52,92.12
40007,"M. Patrick DUPOUY",INDIVIDU,116,77.85,91.33
40007,"Mme Rachel BEIGT",INDIVIDU,115,77.18,90.55
40007,"Mme Fabienne LASSALLE",INDIVIDU,115,77.18,90.55
40007,"M. Marie-Hélène PASSICOUSSET",INDIVIDU,114,76.51,89.76
40007,"Mme Evelyne FEDENSIEU",INDIVIDU,113,75.83,88.97
40007,"Mme Régis LASSALLE",INDIVIDU,102,68.45,80.31
40008,"M. Simon LOURENÇO",INDIVIDU,34,48.57,53.96
40008,"Mme Josette BOUSSEAU",INDIVIDU,26,37.14,41.26
40008,"M. Jacques HOYER",INDIVIDU,26,37.14,41.26
40008,"Mme Anne-Marie BRAU",INDIVIDU,25,35.71,39.68
40008,"Mme Marie Brigitte BRUGUERA",INDIVIDU,23,32.85,36.50
40008,"M. Laurent MAÎTRE",INDIVIDU,22,31.42,34.92
40008,"Mme Denise MASSOU",INDIVIDU,22,31.42,34.92
40008,"M. Antoine JAYR",INDIVIDU,22,31.42,34.92
40008,"M. Jean-Jacques DUPUCH",INDIVIDU,21,30.00,33.33
40008,"Mme Anne-Lise LALANNE",INDIVIDU,20,28.57,31.74
40008,"Mme Thérèse MATHON",INDIVIDU,20,28.57,31.74
40008,"Mme Marie-Christine LARRUE",INDIVIDU,20,28.57,31.74
40008,"M. Bertrand ZIEGLER",INDIVIDU,19,27.14,30.15
40008,"M. Florent POMIER",INDIVIDU,18,25.71,28.57
40008,"M. Jean Louis LACROIX",INDIVIDU,18,25.71,28.57
40008,"M. Henri D'AVEZAC DE CASTERA",INDIVIDU,18,25.71,28.57
40008,"Mme Maryse CHALDU",INDIVIDU,18,25.71,28.57
40008,"M. Jean Claude GRASSET",INDIVIDU,17,24.28,26.98
40009,"M. Henri LABORDE",INDIVIDU,106,68.38,100.00
40009,"Mme Christine ROBIDOU",INDIVIDU,104,67.09,98.11
