code_insee,nom,parti,nb_voix,percent_inscrits,percents_exprimes
75056SR01,"Mme Elisabeth BOURGUINAT",LVEC,659,6.32,10.84
75056SR01,"M. Olivier RAUCH",LFN,306,2.93,5.03
75056SR01,"M. Jean-François LEGARET",LUD,3144,30.15,51.71
75056SR01,"M. Laurent GUIGNON",LDIV,123,1.17,2.02
75056SR01,"Mme Dominique MAGNIETTE",LPG,154,1.47,2.53
75056SR01,"M. Loïg RAOUL",LUG,1663,15.95,27.35
75056SR01,"Mme Marielle SAULNIER",LEXG,30,0.28,0.49
75056SR02,"Mme Hélène DELSOL",LDVD,755,6.18,11.01
75056SR02,"M. Jacques BOUTAULT",LVEC,2260,18.50,32.95
75056SR02,"Mme Danièle OBONO",LPG,192,1.57,2.80
75056SR02,"M. Emmanuel SALA",LDVD,129,1.05,1.88
75056SR02,"M. Jean-Pierre DALMAS",LEXG,21,0.17,0.30
75056SR02,"Mme Véronique LEVIEUX",LUG,1565,12.81,22.82
75056SR02,"M. Christophe LEKIEFFRE",LUD,1663,13.61,24.25
75056SR02,"M. Pascal BERLAND",LFN,272,2.22,3.96
75056SR03,"M. Bruno CLAVET",LFN,580,2.84,4.99
75056SR03,"Mme Marie-Laure HAREL",LUD,3379,16.59,29.09
75056SR03,"M. Jacky MAJDA",LDVD,279,1.37,2.40
75056SR03,"Mme Laurence HUGUES",LVEC,1252,6.15,10.77
75056SR03,"M. Hugues REINER",LPG,464,2.27,3.99
75056SR03,"Mme Isabelle FOUCHER",LEXG,110,0.54,0.94
75056SR03,"M. Jean-Pierre LUCIANO",LEXG,58,0.28,0.49
75056SR03,"M. Pierre AIDENBAUM",LUG,5493,26.98,47.29
75056SR04,"Mme Corine FAUGERON",LVEC,916,5.30,9.29
75056SR04,"Mme Olivia LEWI",LEXG,60,0.34,0.60
75056SR04,"M. Christophe GIRARD",LUG,3684,21.33,37.40
75056SR04,"M. David FREMIOT",LPG,376,2.17,3.81
75056SR04,"M. Vincent ROGER",LUD,3725,21.56,37.81
75056SR04,"M. Elie HATEM",LFN,512,2.96,5.19
75056SR04,"Mme Anne LEBRETON",LDVD,577,3.34,5.85
75056SR05,"M. Laurent AUDOUIN",LVEC,1985,5.60,8.92
75056SR05,"Mme Marie-Christine LEMARDELEY",LUG,7550,21.32,33.94
75056SR05,"Mme Gabrielle FRIJA",LEXG,142,0.40,0.63
75056SR05,"M. Dominique TIBERI",LDVD,4322,12.20,19.43
75056SR05,"Mme Blandine ROSSAND",LDVD,127,0.35,0.57
75056SR05,"Mme Martine MASSON-CHRETIEN",LPG,976,2.75,4.38
75056SR05,"Mme Florence BERTHOUT",LUD,6336,17.89,28.48
75056SR05,"Mme Lucia LAPORTE",LFN,805,2.27,3.61
75056SR06,"M. Patrick PLANQUE",LEXG,66,0.25,0.44
75056SR06,"M. Emmanuel PIERRAT",LVEC,982,3.83,6.65
75056SR06,"Mme Dominique BAUD",LDVD,496,1.93,3.36
75056SR06,"Mme Anaïs GOUDMAND",LPG,349,1.36,2.36
75056SR06,"M. Jean-Pierre LECOQ",LUD,7766,30.33,52.61
75056SR06,"Mme Geneviève BERTRAND",LDVD,537,2.09,3.63
75056SR06,"M. Romain LEVY",LUG,3855,15.05,26.11
75056SR06,"M. Paul Marie COUTEAUX",LFN,708,2.76,4.79
75056SR07,"M. Bernard BOURDEIX",LVEC,546,1.74,3.04
75056SR07,"Mme Capucine EDOU",LUG,3031,9.67,16.92
75056SR07,"M. Emmanuel MANDAT GRANCEY",LDVD,535,1.70,2.98
75056SR07,"M. Michel DUMONT",LDVD,1348,4.30,7.52
75056SR07,"M. Christian LE ROUX",LDVD,3190,10.18,17.81
75056SR07,"Mme Rachida DATI",LUD,7345,23.45,41.01
