partiAcro,PartiName,partiColor
LEXD,Liste Extrême Droite,000000
LFN,Liste Front National,000033
LDVD,Liste Divers Droite,000066
LUD,Liste Union de la Droite,000099
LUMP,Liste Union pour un Mouvement Populaire,0000CC
LUC,Liste Union du Centre,FF9900
LMDM,Liste Modem,FF9933
LUDI,Liste Union des Démocrates et des Indépendants,FF9966
LSOC,Liste Socialiste,CC33FF
LUG,Liste Union de la Gauche,CC33CC
LPG,Liste du Parti de Gauche,CC3399
LDVG,Liste Divers Gauche,CC3366
LCOM,Liste du Parti Communiste français,CC3333
LFG,Liste Front de Gauche,CC3330
LEXG,Liste Extrême Gauche,CC0000
LVEC,Europe-Ecologie-Les Verts,00CC33
LDIV,Liste Divers,D8D8D8
INDIVIDU,Individuel,FFFFCC
