code_insee,nom,parti,nb_voix,percent_inscrits,percents_exprimes
2A001,"M. Ange Pascal MINICONI",LDVG,1406,57.03,64.94
2A001,"M. Jean-Louis LUCIANI",LDVG,759,30.79,35.05
2A004,"M. Joseph FILIPPI",LDIV,1792,5.28,6.86
2A004,"M. Simon RENUCCI",LDVG,12020,35.42,46.03
2A004,"M. Laurent MARCANGELI",LUD,12301,36.25,47.10
2A006,"M. Pierre FERRUCCI",LDVD,630,22.62,29.04
2A006,"M. Etienne FERRANDI",LDVG,1539,55.26,70.95
2A008,"M. Pierre-Paul LUCIANI",LUMP,524,41.32,54.13
2A008,"M. Paul-Joseph QUASTANA",LDIV,444,35.01,45.86
2A011,"M. Etienne CARLOTTI",LPS,48,64.86,100.00
2A011,"M. Pierre RICCI",LPS,48,64.86,100.00
2A011,"M. Alain MATTEI",LPS,48,64.86,100.00
2A011,"M. Toussaint SIMONPIETRI",LPS,48,64.86,100.00
2A011,"M. Antoine MONEGLIA",LPS,48,64.86,100.00
2A011,"M. Jean-Paul PANZANI",LPS,48,64.86,100.00
2A011,"Mme Marie-Pierrette PAOLETTI",LPS,48,64.86,100.00
2A014,"M. Jean-Toussaint POLI",LPS,53,71.62,100.00
2A014,"M. Dominique-Ange ANTONINI",LPS,52,70.27,98.11
2A014,"M. Gilles SALARIS",LPS,52,70.27,98.11
2A014,"Mme Virginie COLONNA",LPS,52,70.27,98.11
2A014,"M. Christophe RESSOUCHE",LPS,50,67.56,94.33
2A014,"M. Marcel NANNINI",LPS,50,67.56,94.33
2A014,"M. Jean-Michel MARCHI",LPS,42,56.75,79.24
2A017,"M. Jean-Paul GRISONI",LDVD,273,18.84,22.06
2A017,"Mme Jocelyne CAPARELLI",LDVD,128,8.83,10.34
2A017,"M. François FAGGIANELLI",LDVG,836,57.69,67.58
2A018,"Mme Marie-Antoinette ROTILY FORCIOLI-CARRIER",LPS,74,54.01,100.00
2A018,"Mme Elisabeth BARRAULT",LPS,73,53.28,98.64
2A018,"M. Jean- Philippe SCAGLIA",LPS,73,53.28,98.64
2A018,"Mme Alexandra ORTOLI",LPS,73,53.28,98.64
2A018,"Mme Antoinette ZAVANI ÉPOUSE VALET",LPS,73,53.28,98.64
2A018,"Mme Gyslaine COLONNA D'ISTRIA",LPS,73,53.28,98.64
2A018,"Mme Eugènie PAPINI VEUVE GIACOMONI",LPS,73,53.28,98.64
2A018,"M. Jean-Pierre MARRATZU",LPS,73,53.28,98.64
2A018,"M. Jean-François RUFFINI",LPS,72,52.55,97.29
2A018,"M. François NICOLAÏ",LPS,71,51.82,95.94
2A018,"Mme Marie-France MOZZICONACCI",LPS,60,43.79,81.08
2A019,"M. Antoine TROJANI",LPS,75,77.31,100.00
2A019,"Mme Marie-France BIANCUCCI",LPS,73,75.25,97.33
2A019,"M. Xavier GERONIMI",LPS,73,75.25,97.33
2A019,"Mme Marie-Jeanne COSTA",LPS,73,75.25,97.33
2A019,"Mme Marie-Françoise COLONNA",LPS,72,74.22,96.00
2A019,"M. Jean-Pierre GIAFFERRI",LPS,71,73.19,94.66
2A019,"M. Jean-André CANAVELLI",LPS,70,72.16,93.33
2A021,"Mme Magalie CARACCIOLI",LPS,86,75.43,93.47
2A021,"M. Jean-Luc CASALTA",LPS,86,75.43,93.47
2A021,"M. Raymond CASABIANCA",LPS,86,75.43,93.47
2A021,"M. Julien CASALTA",LPS,85,74.56,92.39
2A021,"Mme Claire ISTRIA",LPS,84,73.68,91.30
2A021,"M. Jean-Claude LECCIA",LPS,84,73.68,91.30
2A021,"M. Paul-Joseph CAITUCOLI",LPS,83,72.80,90.21
2A022,"Mme Elisabeth MICHELI",LPS,77,77.00,100.00
2A022,"M. Christian ANGELINI",LPS,76,76.00,98.70
2A022,"M. Jean-Claude BENEDETTI",LPS,76,76.00,98.70
2A022,"M. François TABARANI",LPS,75,75.00,97.40
2A022,"M. Paul-Antoine SANTORI",LPS,75,75.00,97.40
2A022,"Mme Pauline UCCIANI",LPS,74,74.00,96.10
2A022,"M. Jean-Baptiste SUSINI",LPS,73,73.00,94.80
2A024,"M. Pierre CASTELLANI",LPS,161,70.00,97.57
2A024,"M. Pascal BARTOLI",LPS,158,68.69,95.75
2A024,"M. Julien GOTI",LPS,158,68.69,95.75
2A024,"Mme Laetitia AUDIAU",LPS,156,67.82,94.54
2A024,"Mme Josiane GIOVANNANGELI",LPS,154,66.95,93.33
2A024,"M. Gilles LUCCHINI",LPS,154,66.95,93.33
2A024,"M. Mathieu LECERF",LPS,154,66.95,93.33
2A024,"M. Albert PIAZZA",LPS,153,66.52,92.72
2A024,"M. Richard CESARI",LPS,153,66.52,92.72
2A024,"M. Toussaint CHIARONI",LPS,151,65.65,91.51
2A024,"Mme Anna FAVREAU",LPS,148,64.34,89.69
2A026,"M. Antoine FOATA",LPS,112,71.33,100.00
2A026,"M. Didier VERGAMINI",LPS,112,71.33,100.00
2A026,"Mme Marie, Dominique CHIARISOLI",LPS,112,71.33,100.00
2A026,"Mme Aurélie BERTUCCI",LPS,112,71.33,100.00
2A026,"Mme Magali WENZ-GUGLIELMI",LPS,112,71.33,100.00
2A026,"M. Jean Marie BENVENUTI",LPS,111,70.70,99.10
2A026,"M. Pierre Dominique DE LA FOATA",LPS,111,70.70,99.10
2A026,"M. Antoine PERETTI",LPS,111,70.70,99.10
2A026,"M. Antoine-Dominique BURESI",LPS,110,70.06,98.21
2A026,"M. Alain TEYLOUNI",LPS,110,70.06,98.21
2A026,"M. Vincent PAOLANTONACCI",LPS,109,69.42,97.32
2A027,"M. Thierry LECA",LPS,57,68.67,85.07
2A027,"M. Juge Antoine ANTONIETTI",LPS,55,66.26,82.08
2A027,"M. Jérémie VANDEPOORTE-GIACOMONI",LPS,55,66.26,82.08
2A027,"M. Denis PINELLI",LPS,54,65.06,80.59
2A027,"M. Roland MONTANE",LPS,53,63.85,79.10
2A027,"Mme Marie-Josée ANTONIETTI",LPS,52,62.65,77.61
2A027,"M. Jean BETTINI",LPS,51,61.44,76.11
2A027,"M. Antoine Marie PINELLI",LPS,23,27.71,34.32
2A028,"M. Pierre-Thomas ALLEGRINI",LPS,122,49.39,50.83
2A028,"Mme Angélina COLONNA",LPS,122,49.39,50.83
2A028,"M. Dominique GRISONI",LPS,121,48.98,50.41
2A028,"Mme Floriane LECA",LPS,120,48.58,50.00
2A028,"Mme Flavie ARRIGHI",LPS,119,48.17,49.58
2A028,"M. Joseph ANTONINI",LPS,119,48.17,49.58
2A028,"M. Pascal MAROSELLI",LPS,119,48.17,49.58
2A028,"M. Christophe VERSINI",LPS,118,47.77,49.16
2A028,"M. Alain SERRA",LPS,117,47.36,48.75
2A028,"M. Jean-André CARLOTTI",LPS,117,47.36,48.75
2A028,"Mme Flora ALTIERI-LECA",LPS,113,45.74,47.08
2A028,"M. François ALBERTINI",LPS,0,0.00,0.00
2A028,"Mme Colomba CARLOTTI-GAMBIN",LPS,0,0.00,0.00
2A028,"M. Jean-Marie GOYHENEIX",LPS,0,0.00,0.00
2A028,"M. Pierre-Antoine LECA",LPS,0,0.00,0.00
2A028,"Mme Stéphanie BAKHOUM",LPS,0,0.00,0.00
2A028,"Mme Marie-Hélène CHAPUIS",LPS,0,0.00,0.00
2A028,"M. Antoine CARLOTTI",LPS,0,0.00,0.00
2A028,"Mme Vanessa GRISONI",LPS,0,0.00,0.00
2A028,"Mme Anasthasie POLI",LPS,0,0.00,0.00
2A028,"Mme Marie-Jeanne ALTIERI-LECA",LPS,0,0.00,0.00
2A028,"M. François COLONNA",LPS,0,0.00,0.00
2A028,"M. Eric LECA",LPS,0,0.00,0.00
2A028,"M. Pierre-Jean RUBINI",LPS,0,0.00,0.00
2A028,"Mme Nicole CARLOTTI",LPS,0,0.00,0.00
2A028,"M. Claude FABIANI",LPS,0,0.00,0.00
2A028,"M. Lionel SCHIAVON",LPS,0,0.00,0.00
2A031,"M. Jean-Baptiste GIFFON",LPS,331,54.62,60.07
2A031,"Mme Pascaline FRASSATI",LPS,322,53.13,58.43
2A031,"M. Marien USCIATI",LPS,322,53.13,58.43
2A031,"M. Jean-François SETA",LPS,314,51.81,56.98
2A031,"M. Pierre-Toussaint BERNARDINI",LPS,307,50.66,55.71
2A031,"M. Jacques FRANCESCHINI",LPS,299,49.33,54.26
2A031,"M. René FRANCESCHINI",LPS,298,49.17,54.08
2A031,"M. Jean-Paul BRIGNOLI",LPS,296,48.84,53.72
2A031,"Mme Toussainte BERNARDI EPSE ROS",LPS,293,48.34,53.17
2A031,"M. Mathieu USCIATI",LPS,280,46.20,50.81
2A031,"M. Jean-Dominique NUNZI",LPS,279,46.03,50.63
2A031,"M. Armand FIGLIE",LPS,279,46.03,50.63
2A031,"M. Jean-Marie FRASSATI",LPS,278,45.87,50.45
2A031,"M. Nicolas LUGREZI",LPS,278,45.87,50.45
2A031,"M. Frédéric GROSSI",LPS,278,45.87,50.45
2A031,"Mme Marylin DE SIMONE",LPS,271,44.71,49.18
2A031,"M. Jean PITTILLONI",LPS,261,43.06,47.36
2A031,"Mme Emmanuelle SAVALL",LPS,259,42.73,47.00
2A031,"M. Christian LORENZONI",LPS,255,42.07,46.27
2A031,"Mme Madeleine SAMMARCELLI",LPS,249,41.08,45.19
2A031,"M. Antone NUNZI",LPS,248,40.92,45.00
2A031,"Mme Milagros BARTOLI",LPS,246,40.59,44.64
2A031,"M. Roger MARTINI",LPS,245,40.42,44.46
2A031,"Mme Claudia CARLOTTI",LPS,243,40.09,44.10
2A031,"M. Dominique FOLACCI",LPS,243,40.09,44.10
2A031,"M. François D'AMORE",LPS,242,39.93,43.92
2A031,"M. Philippe TIRROLONI",LPS,234,38.61,42.46
2A031,"M. François GIACOMETTI",LPS,231,38.11,41.92
2A031,"M. Christophe GANDON",LPS,228,37.62,41.37
2A031,"M. Julien DURAND-ARMELLINI",LPS,226,37.29,41.01
2A032,"M. Antoine OTTAVI",LDVG,1581,59.77,100.00
2A035,"M. Pierre-Antoine SECONDI",LPS,195,75.28,88.23
2A035,"M. Pierre-Paul SERAFINI",LPS,194,74.90,87.78
2A035,"M. Pierre BIANCARELLI",LPS,191,73.74,86.42
2A035,"M. Pascal MONDOLONI",LPS,191,73.74,86.42
2A035,"M. Antoine ETTORI",LPS,189,72.97,85.52
2A035,"M. Michel ISTRIA",LPS,183,70.65,82.80
2A035,"M. Paul POLLONI",LPS,177,68.33,80.09
2A035,"M. Joseph SIMONPIETRI",LPS,176,67.95,79.63
2A035,"M. Séraphin MONDOLONI",LPS,175,67.56,79.18
2A035,"M. Yves TOLINI",LPS,173,66.79,78.28
2A035,"M. Pierre CASALTA",LPS,152,58.68,68.77
2A035,"M. Jean-Pierre TOLINI",LPS,59,22.77,26.69
2A038,"M. Gérard ANDREANI",LPS,43,70.49,100.00
2A038,"M. Michel TRAMONI",LPS,43,70.49,100.00
2A038,"M. Jean-Paul BOURDEAUX",LPS,43,70.49,100.00
2A038,"Mme Jocelyne WATTRELOT",LPS,43,70.49,100.00
2A038,"M. Jean-Claude CODACCIONI",LPS,43,70.49,100.00
2A038,"M. Jean-Luc CODACCIONI",LPS,43,70.49,100.00
2A038,"Mme Jacqueline QUILICHINI",LPS,43,70.49,100.00
2A040,"M. Ange-Marie SAVELLI",LPS,279,53.75,56.02
2A040,"M. Denis MORETTI",LPS,274,52.79,55.02
2A040,"M. Paul BUERI",LPS,274,52.79,55.02
2A040,"M. Achille MARTINETTI",LPS,274,52.79,55.02
2A040,"M. Jean AGOSTINI",LPS,273,52.60,54.81
2A040,"Mme Bernadette MINICONI",LPS,273,52.60,54.81
2A040,"M. Michel FUMAROLI",LPS,270,52.02,54.21
2A040,"M. Emile CANTIERI",LPS,268,51.63,53.81
2A040,"Mme Pascale ROSSINI",LPS,267,51.44,53.61
2A040,"Mme Marlène BATTINI MARTINI",LPS,263,50.67,52.81
2A040,"M. Robert FARINACCI",LPS,259,49.90,52.00
2A040,"M. Martin MURACCIOLI",LPS,236,45.47,47.38
2A040,"Mme Livia CASABIANCA",LPS,231,44.50,46.38
2A040,"M. Mathieu BIRRALDACCI",LPS,230,44.31,46.18
2A040,"Mme Marie-Françoise MANENTI",LPS,228,43.93,45.78
