code_insee,nom,parti,nb_voix,percent_inscrits,percents_exprimes
89001,"M. André GUÉDON",LPS,217,65.75,93.13
89001,"Mme Monique LAGARDE",LPS,207,62.72,88.84
89001,"M. Luc LANDRIER",LPS,206,62.42,88.41
89001,"Mme Annie LAGARDE",LPS,199,60.30,85.40
89001,"M. Jean-Pierre CASSEGRAIN",LPS,197,59.69,84.54
89001,"Mme Véronique PLANCHAIS",LPS,196,59.39,84.12
89001,"M. Laurent GAUSSENS",LPS,193,58.48,82.83
89001,"M. Stéphane GUILLIER",LPS,193,58.48,82.83
89001,"Mme Dominique TILMANT",LPS,185,56.06,79.39
89001,"M. Dominique CHARLOT",LPS,185,56.06,79.39
89001,"M. Alain MION",LPS,183,55.45,78.54
89002,"M. Amaël TELLIER",LPS,39,48.75,54.16
89002,"M. Jean-Louis MONTREYNAUD",LPS,33,41.25,45.83
89002,"M. Jean BETHERY",LPS,0,0.00,0.00
89002,"M. Louis BETHERY",LPS,0,0.00,0.00
89002,"Mme Fanny RIFFARD",LPS,0,0.00,0.00
89002,"M. Daniel GROSBETY",LPS,0,0.00,0.00
89002,"M. Jean-Luc LAVENTUREUX",LPS,0,0.00,0.00
89002,"M. Sylvain LEBRUN",LPS,0,0.00,0.00
89003,"M. William LEMAIRE",LDVD,458,41.22,100.00
89004,"M. Roland BURGRAF",LPS,127,59.62,78.39
89004,"M. Damien HENNEQUIN",LPS,127,59.62,78.39
89004,"M. Jean-Marie PINGAT",LPS,125,58.68,77.16
89004,"Mme Sophie AUBLIN",LPS,123,57.74,75.92
89004,"M. Thierry SEBILLOTTE",LPS,114,53.52,70.37
89004,"Mme Sandrine GRANDJEAN",LPS,112,52.58,69.13
89004,"Mme Thérèse BURGRAF",LPS,112,52.58,69.13
89004,"Mme Catherine COULOMBEL",LPS,106,49.76,65.43
89004,"M. Christian LETORT",LPS,103,48.35,63.58
89004,"Mme Marie-Chantal MARCHI",LPS,102,47.88,62.96
89004,"M. Mathieu MARCHI",LPS,95,44.60,58.64
89004,"M. Jean COTTE",LPS,54,25.35,33.33
89004,"Mme Eliane MURGEY",LPS,42,19.71,25.92
89004,"M. Andréas ALBINGRE",LPS,40,18.77,24.69
89004,"Mme Sandrine COULON",LPS,40,18.77,24.69
89004,"M. Alexandre ROBERT",LPS,37,17.37,22.83
89004,"Mme Béatrice PAINGRIS",LPS,37,17.37,22.83
89004,"M. Marcel PARIZOT",LPS,35,16.43,21.60
89005,"Mme Nathalie MEUSSOT",LPS,375,51.72,84.26
89005,"M. Luc COLNOT",LPS,358,49.37,80.44
89005,"M. Jean-Paul BRICOT",LPS,357,49.24,80.22
89005,"M. Olivier COLAS",LPS,354,48.82,79.55
89005,"M. Jean-Marc DICHE",LPS,352,48.55,79.10
89005,"M. Emmanuel DELAGNEAU",LPS,350,48.27,78.65
89005,"M. Pierre LEMERCIER",LPS,350,48.27,78.65
89005,"Mme Valérie PICOCHE",LPS,345,47.58,77.52
89005,"M. Christian LEPROUT",LPS,340,46.89,76.40
89005,"M. Romain CARBOGNIN",LPS,333,45.93,74.83
89005,"M. Pierre-Yves CUBILLÉ",LPS,333,45.93,74.83
89005,"M. Claude DELIGNY",LPS,328,45.24,73.70
89005,"Mme Gilberte HAYOT",LPS,316,43.58,71.01
89005,"M. Jacques ROBETTE",LPS,316,43.58,71.01
89005,"Mme Maryse ROYER",LPS,288,39.72,64.71
89006,"Mme Sylvia PAGE",LPS,95,56.88,87.96
89006,"M. Raphaël ROSSETTO",LPS,95,56.88,87.96
89006,"Mme Delphine MATHIEU",LPS,92,55.08,85.18
89006,"M. Jean MASSÉ",LPS,90,53.89,83.33
89006,"Mme Maryvonne HUGEROT",LPS,88,52.69,81.48
89006,"Mme Véronique BURGEVIN",LPS,87,52.09,80.55
89006,"M. Claude HABERSTICH",LPS,81,48.50,75.00
89006,"M. Serge HOUDOT",LPS,79,47.30,73.14
89006,"M. Philippe CHEVALLIER",LPS,78,46.70,72.22
89006,"M. Laurent DURLOT",LPS,77,46.10,71.29
89006,"M. Michel WALTER",LPS,75,44.91,69.44
89007,"Mme Magali DOIX",LPS,153,38.73,52.21
89007,"M. Sylvain NOËL",LPS,142,35.94,48.46
89007,"M. Frédéric BUCHEZ",LPS,141,35.69,48.12
89007,"Mme Séverine GROUX",LPS,137,34.68,46.75
89007,"M. Pierre ROLLAND",LPS,128,32.40,43.68
89007,"M. Julien TISSIER",LPS,116,29.36,39.59
89007,"Mme Claire BERTHELOT",LPS,114,28.86,38.90
89007,"M. Jacky BOITEL",LPS,113,28.60,38.56
89007,"M. Georges LE-STUNFF",LPS,109,27.59,37.20
89007,"Mme Sandrine JOSSELIN",LPS,104,26.32,35.49
89007,"M. Vincent CINTRACT",LPS,101,25.56,34.47
89007,"Mme Olivia AUFFRAY",LPS,99,25.06,33.78
89007,"M. Fabrice DEVILLIERS",LPS,97,24.55,33.10
89007,"Mme Elisabeth VATTAIRE",LPS,97,24.55,33.10
89007,"M. Maxime VILDÉ",LPS,93,23.54,31.74
89007,"Mme Michelle YVELIN",LPS,75,18.98,25.59
89007,"M. David AUBERT",LPS,70,17.72,23.89
89007,"M. Elie BILLARD",LPS,67,16.96,22.86
89007,"M. Hugues GAUTHIER",LPS,66,16.70,22.52
89007,"Mme Martine EPINETTE",LPS,51,12.91,17.40
89007,"Mme Pascale TRAMPAL",LPS,44,11.13,15.01
89007,"Mme Christelle DEVILLIERS",LPS,35,8.86,11.94
89008,"M. Laurent GENIN",LPS,85,63.90,95.50
89008,"M. Etienne PAQUIN",LPS,84,63.15,94.38
89008,"M. Philippe PARIS",LPS,83,62.40,93.25
89008,"M. Didier GENECHESI",LPS,83,62.40,93.25
89008,"M. Thierry BOTREL",LPS,82,61.65,92.13
89008,"M. Jimmy PRIGENT",LPS,82,61.65,92.13
89008,"Mme Aurélie MATINIER",LPS,82,61.65,92.13
89008,"M. Rémy RAPPENEAU",LPS,80,60.15,89.88
89008,"Mme Claudette BOUSSARD",LPS,80,60.15,89.88
89008,"M. Jean-Marc PATRIARCHE",LPS,76,57.14,85.39
89008,"Mme Elisabeth BÉRANGÉ",LPS,74,55.63,83.14
89009,"Mme Dorothée DELHAYE",LPS,186,66.19,81.57
89009,"M. Jean-Luc COLLIN",LPS,178,63.34,78.07
89009,"Mme Chantal GUIGNEPIED",LPS,176,62.63,77.19
89009,"M. Frédéric PELISSIER",LPS,176,62.63,77.19
89009,"M. Gérald HUREAU",LPS,171,60.85,75.00
89009,"Mme Valérie CRETIN",LPS,166,59.07,72.80
89009,"M. Gérard SIMONNOT",LPS,158,56.22,69.29
89009,"Mme Florence VOURIOT-POTTIER",LPS,157,55.87,68.85
89009,"M. Eric CMIL",LPS,147,52.31,64.47
89009,"Mme Chantal LEBORNE",LPS,141,50.17,61.84
89009,"M. Gilles TISSIER",LPS,138,49.11,60.52
89009,"M. Christian CHARBONNIERAS",LPS,130,46.26,57.01
89009,"M. Sébastien DUCROT",LPS,95,33.80,41.66
89009,"Mme Céline HENRY",LPS,87,30.96,38.15
89009,"M. Vincent DUCROT",LPS,86,30.60,37.71
89009,"M. Fabrice GUÉDOU",LPS,76,27.04,33.33
89009,"M. Jérôme SUREAU",LPS,65,23.13,28.50
89010,"M. Didier PHILIPPOT",LPS,155,64.85,92.26
89010,"Mme Marie-Thérèse BRULEY",LPS,153,64.01,91.07
89010,"M. Thierry MALON",LPS,150,62.76,89.28
89010,"Mme Christine BÉRAUD",LPS,149,62.34,88.69
89010,"M. Frédéric MAROLLES",LPS,147,61.50,87.50
89010,"M. Marc MARTIN",LPS,147,61.50,87.50
89010,"Mme Martine CARRÉ",LPS,146,61.08,86.90
89010,"M. Jean-Marie MAURICE",LPS,146,61.08,86.90
89010,"Mme Maryline GONÇALVES DA COSTA",LPS,140,58.57,83.33
89010,"M. François JOSSIER",LPS,139,58.15,82.73
89010,"M. Stéphane GODET",LPS,138,57.74,82.14
89011,"Mme Christelle CARMINATI",LPS,80,72.72,97.56
89011,"M. Bernard CHEVAU",LPS,79,71.81,96.34
89011,"M. Jean DA SILVA DIAS",LPS,79,71.81,96.34
