code_insee,nom,parti,nb_voix,percent_inscrits,percents_exprimes
94001,"M. Eric GRILLON",LUD,1215,38.53,61.98
94001,"Mme Corinne GORLIER",LDVG,745,23.62,38.01
94002,"M. Patrick BEDROSSIAN",LDVD,1768,7.31,14.95
94002,"M. Cédric TARTAUD-GINESTE",LUMP,3169,13.11,26.80
94002,"M. Luc CARVOUNAS",LUG,6887,28.50,58.24
94003,"M. Denis TRUFFAUT",LFN,924,7.55,15.84
94003,"M. Daniel BREUILLER",LUG,3605,29.46,61.80
94003,"M. Dominique JACQUIN",LUC,1010,8.25,17.31
94003,"Mme Nicole FLORENCE",LEXG,118,0.96,2.02
94003,"M. Robert LARCHER",LEXG,176,1.43,3.01
94004,"M. Moncef JENDOUBI",LDVG,916,10.75,20.65
94004,"M. Régis CHARBONNIER",LUG,1662,19.51,37.48
94004,"Mme Maryse MICHEL",LDVD,507,5.95,11.43
94004,"M. Christophe FOGEL",LUC,1349,15.84,30.42
94011,"M. Patrick DOUET",LUG,2797,29.85,100.00
94015,"M. Charles ASLANGUL",LDVD,2024,17.63,31.73
94015,"M. Johan ANKRI",LUG,1257,10.95,19.70
94015,"M. Jean-Pierre SPILBAUER",LUD,3097,26.98,48.55
94016,"M. Jean-Yves LE BOUILLONNEC",LUG,3722,22.63,45.47
94016,"M. Alfred SPEHNER",LUD,2373,14.42,28.99
94016,"M. Thierry DIDIER",LDVG,2089,12.70,25.52
94017,"M. Dominique ADENOT",LUG,10825,25.14,47.73
94017,"M. Laurent JEANNE",LUD,10012,23.25,44.15
94017,"M. Jean-Marie ROUGIER",LFN,1839,4.27,8.10
94018,"Mme Emilie BERTRAND",LDVG,1008,5.13,9.62
94018,"M. Gilles-Maurice BELLAÏCHE",LUG,1724,8.78,16.46
94018,"Mme Chantal GRATIET",LDVD,952,4.84,9.09
94018,"M. Jean-Marie BRÉTILLON",LUMP,6784,34.55,64.80
94019,"M. Jean DJEBARA",LSOC,1257,11.90,23.48
94019,"M. Bernard HAEMMERLÉ",LUMP,1994,18.88,37.25
94019,"M. Jean-Pierre BARNAUD",LDVD,2102,19.90,39.26
94021,"M. Pascal RIOUAL",LSOC,1204,11.56,22.46
94021,"M. Patrick VICERIAT",LUD,1413,13.57,26.36
94021,"Mme Stéphanie DAUMIN",LCOM,2743,26.34,51.17
94022,"M. Tonino PANETTA",LUD,4910,24.29,45.57
94022,"Mme Monique BARON",LDVD,714,3.53,6.62
94022,"M. Didier GUILLAUME",LUG,5149,25.48,47.79
94028,"M. Gaétan MARZO",LFN,2611,5.23,11.67
94028,"M. Thierry HEBBRECHT",LUMP,6622,13.28,29.60
94028,"M. Laurent CATHALA",LUG,13132,26.34,58.71
94033,"M. Gildas LECOQ",LUD,6708,20.38,40.74
94033,"M. Jean-François VOGUET",LDVG,9756,29.65,59.25
94034,"M. Georges KIBONG AMIRA",LUMP,1194,7.81,15.72
94034,"M. Jean-Jacques BRIDEY",LUG,3010,19.70,39.64
94034,"M. Kaddour METIR",LDVG,579,3.79,7.62
94034,"Mme Frédérique PRADIER",LDVD,2810,18.39,37.00
94037,"M. Benoît CRESPIN",LUMP,1565,15.76,31.91
94037,"Mme Patricia TORDJMAN",LUG,3338,33.62,68.08
94038,"M. Pierre COILBAULT",LUG,4720,24.24,45.92
94038,"M. Vincent JEANBRUN",LUD,5558,28.55,54.07
94041,"M. Régis LECLERCQ",LUD,3501,12.10,27.08
94041,"Mme Sandrine BERNARD",LSOC,2306,7.97,17.83
94041,"M. Pierre GOSNAT",LFG,7120,24.62,55.07
94042,"M. Jean François CLAIR",LUG,1559,12.69,23.16
94042,"M. Olivier AUBRY",LDVD,1391,11.33,20.67
94042,"M. Pascal AJAR",LDVD,375,3.05,5.57
94042,"M. Olivier DOSNE",LUD,3404,27.72,50.58
94043,"M. Arnaud WEBER-GUILLOUET",LUD,3158,21.36,44.65
94043,"M. Jean-Luc LAURENT",LUG,3914,26.47,55.34
94044,"Mme Françoise LECOUFLE",LUD,3277,28.78,50.97
94044,"Mme Jocelyne PIGRÉE",LFG,592,5.19,9.20
94044,"M. Fabrice PEYREGA",LEXG,118,1.03,1.83
94044,"M. Raymond CATHALA",LUG,1593,13.99,24.77
94044,"M. Jean-Jacques LEJEMBLE",LFN,849,7.45,13.20
94046,"M. Bernard BOUCHÉ",LVEC,1234,3.48,6.15
94046,"M. Jean-François KING",LEXG,422,1.19,2.10
94046,"M. Franck MONFORT",LDVG,861,2.42,4.29
94046,"M. Michel HERBILLON",LUMP,14796,41.73,73.84
94046,"M. Xavier COHARD",LUG,2724,7.68,13.59
94047,"M. Jean-Brice DE BARY",LMDM,518,16.14,27.19
94047,"M. Jean-Claude PERRAULT",LDVD,1091,34.00,57.27
94047,"Mme Catherine ZASLAVSKY",LDVG,296,9.22,15.53
94048,"Mme Sylvie GERINTE",LUD,1391,35.52,57.24
94048,"M. Emmanuel BEZANÇON",LDVD,1039,26.53,42.75
94052,"M. Nicolas LEBLANC",LSOC,1728,7.54,15.80
94052,"M. Jacques J.P MARTIN",LUD,5553,24.24,50.77
94052,"Mme Karine RENOUIL",LDVD,1924,8.39,17.59
94052,"M. Michel GILLES",LDVD,1731,7.55,15.82
94053,"Mme Nicole ZOÉ",LSOC,913,27.20,40.29
94053,"M. Yvan FEMEL",LUMP,1353,40.31,59.70
94054,"M. Brahim MESSACI",LDVG,2477,22.23,41.82
94054,"Mme Christine JANODET",LUG,3446,30.93,58.17
94055,"M. Guy LE DOEUFF",LUDI,1068,15.27,25.20
94055,"Mme Linda LAFORGE",LUG,442,6.31,10.43
94055,"Mme Marie-Christine SEGUI",LUMP,2346,33.54,55.36
94055,"M. Alexandre PALLARES",LFN,381,5.44,8.99
94056,"M. Georges URLACHER",LUMP,725,41.69,100.00
94058,"M. Joseph TERRIBILE",LVEC,968,4.21,8.03
94058,"M. Roland PEYLET",LUG,1340,5.84,11.12
94058,"M. Claude LÉDION",LFN,856,3.73,7.10
94058,"M. Robert SCHMITZ",LFG,517,2.25,4.29
94058,"M. Gilles CARREZ",LUD,8363,36.45,69.43
94059,"Mme Nathalie LEMAIRE",LFG,617,5.15,9.27
94059,"M. François GERARD",LDVG,850,7.10,12.78
94059,"M. Maxime CHEVALLIER",LFN,1079,9.02,16.22
94059,"M. Didier DOUSSET",LUD,4103,34.30,61.70
94060,"M. Jean-Paul FAURE-SOULET",LUD,1932,25.25,45.37
94060,"Mme Danielle MOLINIER-VERCHERE",LDVG,402,5.25,9.44
94060,"M. Jean-Jacques DARVES",LUG,1924,25.15,45.18
94065,"M. Philippe CROQ",LDVG,1282,31.09,44.73
94065,"M. Raymond CHARRESSON",LDVD,1584,38.41,55.26
94067,"Mme Geneviève TOUATI",LUG,1364,8.87,16.75
94067,"M. Patrick BEAUDOUIN",LUD,3410,22.19,41.89
94067,"M. Jean EROUKHMANOFF",LDVD,1553,10.10,19.08
94067,"Mme Claire PALLIERE",LDVD,1812,11.79,22.26
94068,"M. Sylvain BERRIOS",LUMP,9334,18.07,31.99
94068,"M. Henri PLAGNOL",LDVD,8159,15.80,27.96
94068,"Mme Elisabeth BOUFFARD-SAVARY",LUG,4561,8.83,15.63
94068,"M. Nicolas CLODONG",LDVD,7122,13.79,24.41
94069,"Mme Patricia RICHARD",LSOC,663,7.47,14.87
94069,"M. Christian CAMBON",LUD,3400,38.34,76.30
94069,"M. Claude NICOLAS",LFG,393,4.43,8.81
94070,"M. Jean-Claude GENDRONNEAU",LUMP,909,35.19,53.28
94070,"M. François PENNACCHIOLI",LDIV,100,3.87,5.86
94070,"M. Vincent BEDU",LDVD,697,26.98,40.85
94071,"Mme Marie-Carole CIUNTU",LUD,5173,30.40,54.85
94071,"M. Jacques DUVAL",LUG,1455,8.55,15.42
94071,"M. Jean-Paul GRANGE",LVEC,697,4.09,7.39
94071,"M. Georges SPIDO",LDVD,2105,12.37,22.32
94073,"M. Philippe PATRY",LUG,1325,8.02,13.90
94073,"M. Bruno TRAN",LDVD,3273,19.81,34.34
94073,"M. Richard DELL'AGNOLA",LUD,4931,29.85,51.74
94074,"Mme Françoise BAUD",LCOM,1571,25.62,57.02
94074,"M. Metin YAVUZ",LDVG,1184,19.31,42.97
94075,"M. Daniel WAPPLER",LDVD,1808,27.53,45.81
94075,"M. Gérard GUILLE",LUMP,2138,32.55,54.18
94076,"M. Alexandre GABORIT",LFN,1212,4.12,7.78
94076,"Mme Claudine CORDILLOT",LUG,6776,23.04,43.52
94076,"M. Franck LE BOHELLEC",LUD,7581,25.78,48.69
94077,"M. Daniel GUERIN",LUG,1942,17.01,29.17
94077,"M. Didier GONZALES",LUD,3762,32.95,56.51
94077,"M. Guy JUIN",LDVD,314,2.75,4.71
94077,"M. Joel JOSSO",LFG,639,5.59,9.59
94078,"Mme Sylvie ALTMAN",LUG,3835,29.05,50.19
94078,"M. Philippe GAUDIN",LEXD,3805,28.83,49.80
94079,"Mme Simonne ABRAHAM-THISSE",LUG,2966,17.42,33.76
94079,"M. Jacques Alain BENISTI",LUD,4605,27.04,52.43
94079,"M. Gilles PARMENTIER",LFN,1212,7.11,13.79
94080,"M. Laurent LAFON",LUD,11875,36.42,66.37
94080,"M. Nami CAGANI",LFG,1131,3.46,6.32
94080,"M. François DE LANDES DE SAINT PALAIS D'AUSSAC",LDVD,1424,4.36,7.95
94080,"M. Pierre SERNE",LUG,3462,10.61,19.34
94081,"M. François PARADOL",LFN,2607,5.60,13.40
94081,"M. Jacques PERREUX",LDVG,3366,7.24,17.31
94081,"M. Alain AFFLATET",LUD,4241,9.12,21.81
94081,"M. Alain AUDOUBERT",LUG,9228,19.84,47.46
